,DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,LOCATION,LAT,LON
0,190326475,03-01-2020 00:00,03-01-2020 00:00,2130,7,Wilshire,784,1,510,VEHICLE - STOLEN,,0,M,O,101,STREET,,,AA,Adult Arrest,510,998,,1900 S  LONGWOOD                     AV,34.0375,-118.3506
1,200106753,02-09-2020 00:00,02-08-2020 00:00,1800,1,Central,182,1,330,BURGLARY FROM VEHICLE,1822 1402 0344,47,M,O,128,BUS STOP/LAYOVER (ALSO QUERY 124),,,IC,Invest Cont,330,998,,1000 S  FLOWER                       ST,34.0444,-118.2628
2,200320258,11-11-2020 00:00,11-04-2020 00:00,1700,3,Southwest,356,1,480,BIKE - STOLEN,0344 1251,19,X,X,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,480,,,1400 W  37TH                         ST,34.021,-118.3002
3,200907217,05-10-2023 00:00,03-10-2020 00:00,2037,9,Van Nuys,964,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0325 1501,19,M,O,405,CLOTHING STORE,,,IC,Invest Cont,343,,,14000    RIVERSIDE                    DR,34.1576,-118.4387
4,200412582,09-09-2020 00:00,09-09-2020 00:00,630,4,Hollenbeck,413,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,200 E  AVENUE 28,34.082,-118.213
5,200209713,05-03-2020 00:00,05-02-2020 00:00,1800,2,Rampart,245,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,2500 W  4TH                          ST,34.0642,-118.2771
6,200200759,07-07-2020 00:00,07-07-2020 00:00,1340,2,Rampart,265,1,648,ARSON,0329 1402 2004 1501,0,X,X,101,STREET,,,IC,Invest Cont,648,998,,JAMES M WOOD,34.0536,-118.2788
7,201308739,03/27/2020 12:00:00 AM,03/27/2020 12:00:00 AM,1210,13,Newton,1333,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,3200 S  SAN PEDRO                    ST,34.017,-118.2643
8,201112065,07/31/2020 12:00:00 AM,07/30/2020 12:00:00 AM,2030,11,Northeast,1161,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,AA,Adult Arrest,510,,,KENMORE                      ST,34.0953,-118.2974
9,200121929,12-04-2020 00:00,12-03-2020 00:00,2300,1,Central,105,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,400    SOLANO                       AV,34.071,-118.2302
10,201215394,06/26/2020 12:00:00 AM,06/25/2020 12:00:00 AM,2200,12,77th Street,1259,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,FLORENCE,33.9747,-118.2587
